,User,App,Slice,Throughput
0,0,1,1,0.0
1,0,2,1,0.0
2,1,1,1,899.6137471104
3,1,2,1,1799.2274942208
4,2,1,1,739.0490603328001
5,2,2,1,1478.0981206656002
6,3,1,1,0.0
7,3,2,1,0.0
8,4,1,1,739.0490603328001
9,4,2,1,1302.8596896672002
10,5,1,1,0.0
11,5,2,1,0.0
12,6,3,2,0.0
13,6,4,2,0.0
14,7,3,2,0.0
15,7,4,2,0.0
16,8,3,2,0.0
17,8,4,2,0.0
18,9,3,2,10302.665611996801
19,9,4,2,899.6137471104
20,10,3,2,10795.3649653248
21,10,4,2,899.6137471104
22,11,5,3,0.0
23,12,5,3,0.0
24,13,5,3,0.0
25,14,5,3,20259.93375
