,TimeStamp,SNR,RAT
0,1622185120.622,15.657499999999999,NR
1,1622185120.702,14.407499999999999,NR
2,1622185120.782,15.7975,NR
3,1622185120.862,16.755,NR
4,1622185120.942,16.3425,NR
5,1622185121.022,15.1675,NR
6,1622185121.102,14.215000000000002,NR
7,1622185121.182,15.895,NR
8,1622185121.262,15.595,NR
9,1622185121.342,15.36,NR
10,1622185121.422,15.96,NR
11,1622185121.502,13.682500000000001,NR
12,1622185121.582,14.085,NR
13,1622185121.662,13.5575,NR
14,1622185121.742,14.3525,NR
15,1622185121.822,15.605,NR
16,1622185121.902,16.245,NR
17,1622185121.982,15.079999999999998,NR
18,1622185122.062,14.757499999999999,NR
19,1622185122.142,15.297500000000001,NR
20,1622185122.222,16.255,NR
21,1622185122.302,16.4125,NR
22,1622185122.382,16.517500000000002,NR
23,1622185122.462,17.200000000000003,NR
24,1622185122.542,14.6675,NR
25,1622185122.622,13.34,NR
26,1622185122.702,13.34,NR
27,1622185122.782,13.989999999999998,NR
28,1622185122.862,14.0025,NR
29,1622185122.942,12.565000000000001,NR
30,1622185123.022,15.705,NR
31,1622185123.102,16.2025,NR
32,1622185123.182,17.36,NR
33,1622185123.262,17.3475,NR
34,1622185123.342,14.7925,NR
35,1622185123.422,15.670000000000002,NR
36,1622185123.502,17.13,NR
37,1622185123.582,16.622500000000002,NR
38,1622185123.662,12.584999999999999,NR
39,1622185123.742,12.9,NR
40,1622185123.822,14.315000000000001,NR
41,1622185123.902,14.585,NR
42,1622185123.982,16.0025,NR
43,1622185124.062,12.285,NR
44,1622185124.142,13.0275,NR
45,1622185124.222,15.614999999999998,NR
46,1622185124.302,13.617500000000001,NR
47,1622185124.382,13.754999999999999,NR
48,1622185124.462,13.455000000000002,NR
49,1622185124.542,13.3975,NR
50,1622185124.622,14.7925,NR
51,1622185124.702,11.134999999999998,NR
52,1622185124.782,11.0825,NR
53,1622185124.862,9.24,NR
54,1622185124.942,9.4125,NR
55,1622185125.022,10.48,NR
56,1622185125.102,14.4525,NR
57,1622185125.182,19.589999999999996,NR
58,1622185125.262,15.2575,NR
59,1622185125.342,16.634999999999998,NR
60,1622185125.422,15.44,NR
61,1622185125.502,15.1,NR
62,1622185125.582,17.655,NR
63,1622185125.662,20.515,NR
64,1622185125.742,15.515,NR
65,1622185125.822,14.655,NR
66,1622185125.902,19.155,NR
67,1622185125.982,15.8925,NR
68,1622185126.062,15.59,NR
69,1622185126.142,18.71,NR
70,1622185126.222,16.085,NR
71,1622185126.302,17.72,NR
72,1622185126.382,16.8325,NR
73,1622185126.462,18.1175,NR
74,1622185126.542,15.715,NR
75,1622185126.622,17.5425,NR
76,1622185126.702,16.31,NR
77,1622185126.782,14.837499999999999,NR
78,1622185126.862,19.435000000000002,NR
79,1622185126.942,14.615,NR
80,1622185127.022,19.5625,NR
81,1622185127.102,15.23,NR
82,1622185127.182,18.095,NR
83,1622185127.262,13.459999999999999,NR
84,1622185127.342,16.365,NR
85,1622185127.422,14.1675,NR
86,1622185127.502,13.745000000000001,NR
87,1622185127.582,14.557500000000001,NR
88,1622185127.662,15.842500000000001,NR
89,1622185127.742,16.355,NR
90,1622185127.822,14.314999999999998,NR
91,1622185127.902,14.850000000000001,NR
92,1622185127.982,13.23,NR
93,1622185128.062,14.4275,NR
94,1622185128.142,14.6975,NR
95,1622185128.222,15.895,NR
96,1622185128.302,16.86,NR
97,1622185128.382,14.91,NR
98,1622185128.462,16.9425,NR
99,1622185128.542,16.384999999999998,NR
100,1622185128.622,15.567499999999999,NR
101,1622185128.702,13.435,NR
102,1622185128.782,12.045,NR
103,1622185128.862,13.367500000000001,NR
104,1622185128.942,14.932500000000001,NR
105,1622185129.022,12.872499999999999,NR
106,1622185129.102,11.62,NR
107,1622185129.182,13.969999999999999,NR
108,1622185129.262,12.2275,NR
109,1622185129.342,13.629999999999999,NR
110,1622185129.422,13.725,NR
111,1622185129.502,12.43,NR
112,1622185129.582,12.9375,NR
113,1622185129.662,14.32,NR
114,1622185129.742,15.295,NR
115,1622185129.822,13.169999999999998,NR
116,1622185129.902,16.240000000000002,NR
117,1622185129.982,15.154999999999998,NR
118,1622185130.062,12.2575,NR
119,1622185130.142,15.0825,NR
120,1622185130.222,10.947499999999998,NR
121,1622185130.302,13.840000000000002,NR
122,1622185130.382,14.084999999999999,NR
