,TimeStamp,SNR,RAT
0,315937171.25,-15.615,NR
1,315937171.33,-14.6775,NR
2,315937171.41,-16.5275,NR
3,315937171.49,-14.072499999999998,NR
4,315937171.57,-16.475,NR
5,315937171.65,-13.4725,NR
6,315937171.73,-15.535,NR
7,315937171.81,-15.002500000000001,NR
8,315937171.89,-14.932500000000001,NR
9,315937171.97,-17.44,NR
10,315937172.05,-16.555,NR
11,315937172.13,-14.067499999999999,NR
12,315937172.21,-16.9675,NR
13,315937172.29,-14.665000000000001,NR
14,315937172.37,-14.415,NR
15,315937172.45,-13.579999999999998,NR
16,315937172.53,-13.412500000000001,NR
17,315937172.61,-13.02,NR
18,315937172.638,-4.157500000000001,NR
19,315937172.66,-4.157500000000001,NR
20,315937404.886,15.8,LTE
21,315937405.526,18.25,LTE
22,315937406.166,20.6,LTE
23,315937406.805,24.25,LTE
24,315937406.824,23.700000000000003,LTE
25,315937406.832,23.95,LTE
26,315937406.842,25.75,LTE
27,315937406.852,26.05,LTE
28,315937406.862,27.8,LTE
29,315937406.872,27.3,LTE
30,315937406.882,25.0,LTE
31,315937406.892,24.1,LTE
32,315937406.902,23.4,LTE
33,315937406.922,27.4,LTE
34,315937406.932,27.7,LTE
35,315937406.942,26.450000000000003,LTE
36,315937406.952,30.0,LTE
37,315937406.962,29.0,LTE
38,315937406.972,25.8,LTE
39,315937406.982,25.9,LTE
40,315937406.992,22.299999999999997,LTE
41,315937407.002,24.4,LTE
42,315937407.012,27.55,LTE
43,315937407.031,24.4,LTE
44,315937407.039,27.2,LTE
45,315937407.062,24.0,LTE
46,315937407.071,24.3,LTE
47,315937407.082,24.5,LTE
48,315937407.119,23.2,LTE
49,315937407.127,27.25,LTE
50,315937407.141,28.85,LTE
51,315937407.151,24.35,LTE
52,315937407.161,25.1,LTE
53,315937407.183,27.75,LTE
54,315937407.191,28.2,LTE
55,315937407.201,28.25,LTE
56,315937407.223,30.0,LTE
57,315937407.231,27.75,LTE
58,315937407.241,24.7,LTE
59,315937407.263,29.05,LTE
60,315937407.271,28.9,LTE
61,315937407.281,29.85,LTE
62,315937407.303,27.2,LTE
63,315937407.311,29.35,LTE
64,315937407.321,26.8,LTE
65,315937407.343,26.45,LTE
66,315937407.351,24.049999999999997,LTE
67,315937407.361,28.15,LTE
68,315937407.383,28.049999999999997,LTE
69,315937407.391,28.4,LTE
70,315937407.401,28.95,LTE
71,315937407.423,28.2,LTE
72,315937407.431,28.2,LTE
73,315937407.441,28.049999999999997,LTE
74,315937407.463,30.0,LTE
75,315937407.471,28.5,LTE
76,315937407.481,28.450000000000003,LTE
77,315937407.503,28.5,LTE
78,315937407.511,26.799999999999997,LTE
79,315937407.521,29.9,LTE
80,315937407.543,30.0,LTE
81,315937407.551,30.0,LTE
82,315937407.561,30.0,LTE
83,315937407.583,29.45,LTE
84,315937407.591,28.6,LTE
85,315937407.601,29.15,LTE
86,315937407.623,29.25,LTE
87,315937407.631,27.9,LTE
88,315937407.641,29.299999999999997,LTE
89,315937407.663,28.45,LTE
90,315937407.671,28.35,LTE
91,315937407.681,28.4,LTE
92,315937407.703,29.95,LTE
93,315937407.711,26.5,LTE
94,315937407.721,28.4,LTE
95,315937407.743,29.1,LTE
96,315937407.751,29.25,LTE
97,315937407.761,25.85,LTE
98,315937407.783,29.25,LTE
99,315937407.949,-12.185,NR
100,315937407.975,-12.185,NR
101,315937408.028,12.969999999999999,NR
102,315937408.123,19.455,NR
103,315937408.203,19.8725,NR
104,315937408.283,21.795,NR
105,315937408.363,16.7625,NR
106,315937408.443,20.395000000000003,NR
107,315937408.523,19.7375,NR
108,315937408.603,15.315,NR
109,315937408.683,14.235,NR
110,315937408.763,16.53,NR
111,315937408.843,22.1125,NR
112,315937408.923,5.507499999999999,NR
113,315937409.003,7.4425,NR
114,315937409.014,7.4425,NR
115,315937409.1,-12.049999999999999,NR
116,315937409.18,-14.370000000000001,NR
117,315937409.26,-14.185,NR
118,315937409.34,-16.6575,NR
119,315937409.42,-13.3675,NR
120,315937409.5,-12.639999999999999,NR
121,315937409.58,-11.282499999999999,NR
122,315937409.66,-13.42,NR
123,315937409.74,-15.612499999999999,NR
124,315937409.82,-12.5175,NR
125,315937409.9,-13.2775,NR
126,315937409.98,-14.575,NR
127,315937410.06,-15.2,NR
128,315937410.14,-13.0675,NR
129,315937410.22,-16.2425,NR
130,315937410.299,-4.0424999999999995,NR
131,315937410.321,-4.0424999999999995,NR
132,315937410.409,-15.32,NR
133,315937410.489,-13.07,NR
134,315937410.569,-13.58,NR
135,315937410.649,-12.1325,NR
136,315937410.729,-13.53,NR
137,315937410.809,-13.580000000000002,NR
138,315937410.889,-13.425,NR
139,315937410.969,-13.899999999999999,NR
140,315937411.049,-11.399999999999999,NR
141,315937411.129,-11.7075,NR
142,315937411.209,-14.1125,NR
143,315937411.289,-12.48,NR
144,315937411.369,-16.0475,NR
145,315937411.449,-13.5975,NR
146,315937411.529,-13.6625,NR
147,315937411.609,-14.485,NR
148,315937411.689,-13.8675,NR
