,Method,Slice,Violation_gap
0,Optimal ILP,Critical Slice,0.0
1,Optimal ILP,Performance Slice,0.0
2,Optimal ILP,Business Slice,11.154774166375994
3,BestCQI,Critical Slice,100.0
4,BestCQI,Performance Slice,100.0
5,BestCQI,Business Slice,100.0
6,NVS,Critical Slice,0.0
7,NVS,Performance Slice,62.3031361546432
8,NVS,Business Slice,71.08318861679199
9,Proposed_HSRS,Critical Slice,0.0
10,Proposed_HSRS,Performance Slice,0.0
11,Proposed_HSRS,Business Slice,80.69414202496
12,Optimal ILP,Critical Slice,0.0
13,Optimal ILP,Performance Slice,0.0
14,Optimal ILP,Business Slice,9.847187963767997
15,BestCQI,Critical Slice,100.0
16,BestCQI,Performance Slice,100.0
17,BestCQI,Business Slice,75.057094213768
18,NVS,Critical Slice,0.0
19,NVS,Performance Slice,72.74463805131519
20,NVS,Business Slice,74.426757736648
21,Proposed_HSRS,Critical Slice,0.0
22,Proposed_HSRS,Performance Slice,0.0
23,Proposed_HSRS,Business Slice,90.234901537216
24,Optimal ILP,Critical Slice,0.0
25,Optimal ILP,Performance Slice,0.0
26,Optimal ILP,Business Slice,23.459256148864004
27,BestCQI,Critical Slice,100.0
28,BestCQI,Performance Slice,100.0
29,BestCQI,Business Slice,100.0
30,NVS,Critical Slice,0.0
31,NVS,Performance Slice,64.53975430420479
32,NVS,Business Slice,74.79430694998001
33,Proposed_HSRS,Critical Slice,0.0
34,Proposed_HSRS,Performance Slice,0.0
35,Proposed_HSRS,Business Slice,95.59787471103999
36,Optimal ILP,Critical Slice,0.0
37,Optimal ILP,Performance Slice,0.0
38,Optimal ILP,Business Slice,16.444731598183992
39,BestCQI,Critical Slice,100.0
40,BestCQI,Performance Slice,100.0
41,BestCQI,Business Slice,93.4645375
42,NVS,Critical Slice,3.67999935786667
43,NVS,Performance Slice,73.46195870087679
44,NVS,Business Slice,79.845463221652
45,Proposed_HSRS,Critical Slice,0.0
46,Proposed_HSRS,Performance Slice,65.460249971104
47,Proposed_HSRS,Business Slice,88.799977973296
48,Optimal ILP,Critical Slice,0.0
49,Optimal ILP,Performance Slice,0.0
50,Optimal ILP,Business Slice,18.189757460704
51,BestCQI,Critical Slice,100.0
52,BestCQI,Performance Slice,100.0
53,BestCQI,Business Slice,100.0
54,NVS,Critical Slice,0.0
55,NVS,Performance Slice,63.7247968331008
56,NVS,Business Slice,78.430292873032
57,Proposed_HSRS,Critical Slice,0.0
58,Proposed_HSRS,Performance Slice,0.0
59,Proposed_HSRS,Business Slice,99.507582801664
60,Optimal ILP,Critical Slice,0.0
61,Optimal ILP,Performance Slice,0.0
62,Optimal ILP,Business Slice,11.133208566659999
63,BestCQI,Critical Slice,100.0
64,BestCQI,Performance Slice,100.0
65,BestCQI,Business Slice,89.34177814667198
66,NVS,Critical Slice,56.284450255466666
67,NVS,Performance Slice,69.0304861662016
68,NVS,Business Slice,78.196782718588
69,Proposed_HSRS,Critical Slice,0.0
70,Proposed_HSRS,Performance Slice,51.192849826624
71,Proposed_HSRS,Business Slice,66.85801872592
72,Optimal ILP,Critical Slice,0.0
73,Optimal ILP,Performance Slice,0.0
74,Optimal ILP,Business Slice,20.538213928856003
75,BestCQI,Critical Slice,100.0
76,BestCQI,Performance Slice,98.714837504128
77,BestCQI,Business Slice,91.685698071256
78,NVS,Critical Slice,0.0
79,NVS,Performance Slice,67.7606424075328
80,NVS,Business Slice,80.499080039296
81,Proposed_HSRS,Critical Slice,0.0
82,Proposed_HSRS,Performance Slice,0.0
83,Proposed_HSRS,Business Slice,68.756199913312
84,Optimal ILP,Critical Slice,0.0
85,Optimal ILP,Performance Slice,0.0
86,Optimal ILP,Business Slice,20.62493783373599
87,BestCQI,Critical Slice,100.0
88,BestCQI,Performance Slice,100.0
89,BestCQI,Business Slice,83.987270359456
90,NVS,Critical Slice,0.0
91,NVS,Performance Slice,67.6680848670784
92,NVS,Business Slice,78.068740182904
93,Proposed_HSRS,Critical Slice,0.0
94,Proposed_HSRS,Performance Slice,0.0
95,Proposed_HSRS,Business Slice,62.83872782881599
96,Optimal ILP,Critical Slice,0.0
97,Optimal ILP,Performance Slice,0.0
98,Optimal ILP,Business Slice,6.451815415504
99,BestCQI,Critical Slice,100.0
100,BestCQI,Performance Slice,100.0
101,BestCQI,Business Slice,100.0
102,NVS,Critical Slice,0.0
103,NVS,Performance Slice,66.27859366042239
104,NVS,Business Slice,83.523424536232
105,Proposed_HSRS,Critical Slice,0.0
106,Proposed_HSRS,Performance Slice,0.0
107,Proposed_HSRS,Business Slice,85.705792082752
108,Optimal ILP,Critical Slice,0.0
109,Optimal ILP,Performance Slice,0.0
110,Optimal ILP,Business Slice,1.2013153938320011
111,BestCQI,Critical Slice,100.0
112,BestCQI,Performance Slice,100.0
113,BestCQI,Business Slice,91.83067187500001
114,NVS,Critical Slice,0.0
115,NVS,Performance Slice,64.5854686084096
116,NVS,Business Slice,83.650056156088
117,Proposed_HSRS,Critical Slice,0.0
118,Proposed_HSRS,Performance Slice,0.0
119,Proposed_HSRS,Business Slice,80.25322398577599
120,Optimal ILP,Critical Slice,0.0
121,Optimal ILP,Performance Slice,0.0
122,Optimal ILP,Business Slice,5.7879694174719996
123,BestCQI,Critical Slice,100.0
124,BestCQI,Performance Slice,88.2361675
125,BestCQI,Business Slice,87.066641444176
126,NVS,Critical Slice,0.0
127,NVS,Performance Slice,66.8802173901952
128,NVS,Business Slice,84.435948354424
129,Proposed_HSRS,Critical Slice,0.0
130,Proposed_HSRS,Performance Slice,0.0
131,Proposed_HSRS,Business Slice,88.66876080385599
132,Optimal ILP,Critical Slice,0.0
133,Optimal ILP,Performance Slice,0.0
134,Optimal ILP,Business Slice,47.9365037708
135,BestCQI,Critical Slice,100.0
136,BestCQI,Performance Slice,83.66134375
137,BestCQI,Business Slice,100.0
138,NVS,Critical Slice,0.0
139,NVS,Performance Slice,64.4043042175168
140,NVS,Business Slice,88.028900660248
141,Proposed_HSRS,Critical Slice,0.0
142,Proposed_HSRS,Performance Slice,0.0
143,Proposed_HSRS,Business Slice,98.18412331830399
144,Optimal ILP,Critical Slice,0.0
145,Optimal ILP,Performance Slice,0.0
146,Optimal ILP,Business Slice,8.688808164295994
147,BestCQI,Critical Slice,100.0
148,BestCQI,Performance Slice,100.0
149,BestCQI,Business Slice,77.118473890432
150,NVS,Critical Slice,0.0
151,NVS,Performance Slice,69.43006365464319
152,NVS,Business Slice,84.45146866331199
153,Proposed_HSRS,Critical Slice,0.0
154,Proposed_HSRS,Performance Slice,0.0
155,Proposed_HSRS,Business Slice,89.975288979424
156,Optimal ILP,Critical Slice,0.0
157,Optimal ILP,Performance Slice,0.0
158,Optimal ILP,Business Slice,10.532246752192
159,BestCQI,Critical Slice,100.0
160,BestCQI,Performance Slice,100.0
161,BestCQI,Business Slice,87.68251566112001
162,NVS,Critical Slice,0.0
163,NVS,Performance Slice,71.999662929952
164,NVS,Business Slice,82.82783234512
165,Proposed_HSRS,Critical Slice,0.0
166,Proposed_HSRS,Performance Slice,0.0
167,Proposed_HSRS,Business Slice,90.859946723296
168,Optimal ILP,Critical Slice,0.0
169,Optimal ILP,Performance Slice,0.0
170,Optimal ILP,Business Slice,10.957948307467998
