RGB0,RGB1,RGB2,RGB3,RGB4,RGB5,RGB6
4,3,8,8,5,3,4
2,5,4,6,8,7,3
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
2,2,4,1,3,1,1
2,2,1,2,1,3,3
1,1,1,1,1,1,1
1,1,1,1,1,1,1
2,1,3,1,3,1,3
1,1,1,1,1,1,1
1,1,1,2,3,5,1
1,3,2,2,7,6,7
6,2,2,4,7,1,6
10,9,7,6,10,7,7
10,7,10,9,12,8,7
7,5,8,11,6,10,9
10,6,10,10,8,7,12
9,10,11,5,6,9,6
8,5,8,9,7,9,10
6,8,12,10,10,9,8
10,8,8,7,8,7,8
5,8,11,11,9,7,5
5,9,10,11,7,7,7
9,10,9,5,11,7,5
9,11,8,9,6,6,7
5,11,10,10,7,8,5
8,5,10,7,8,11,7
7,8,7,7,7,9,4
8,4,9,4,10,10,4
5,10,8,7,4,10,5
6,3,3,8,8,6,8
8,5,3,6,4,3,6
